id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_sale_order,sale.order,sale.model_sale_order,portal.group_portal,1,1,1,0
access_sale_order_line,sale.order.line,sale.model_sale_order_line,portal.group_portal,1,1,1,1
access_account_invoice,account.invoice,account.model_account_invoice,portal.group_portal,1,0,0,0
access_account_invoice_tax,account.invoice.tax,account.model_account_invoice_tax,portal.group_portal,1,0,0,0
access_account_invoice_line,account.invoice.line,account.model_account_invoice_line,portal.group_portal,1,0,0,0
access_account_journal,account.journal,account.model_account_journal,portal.group_portal,1,0,0,0
access_account_voucher,account.voucher,account_voucher.model_account_voucher,portal.group_portal,1,0,0,0
access_account_voucher_line,account.voucher.line,account_voucher.model_account_voucher_line,portal.group_portal,1,0,0,0
access_account_move,account.move,account.model_account_move,portal.group_portal,1,0,0,0
access_account_move_line,account.move.line,account.model_account_move_line,portal.group_portal,1,0,0,0
access_account_move_reconcile,account.move.reconcile,account.model_account_move_reconcile,portal.group_portal,1,0,0,0
access_sale_shop,sale.shop,sale.model_sale_shop,portal.group_portal,1,0,0,0
access_product_list,product.pricelist,product.model_product_pricelist,portal.group_portal,1,0,0,0
access_res_partner,res.partner,base.model_res_partner,portal.group_portal,1,0,0,0
access_account_tax,account.tax,account.model_account_tax,portal.group_portal,1,0,0,0
access_account_fiscalyear,account.fiscalyear,account.model_account_fiscalyear,portal.group_portal,1,0,0,0
access_res_partner_category,res.partner.category,base.model_res_partner_category,portal.group_portal,1,0,0,0
access_account_period,account.period,account.model_account_period,portal.group_portal,1,0,0,0
access_account_account,account.account,account.model_account_account,portal.group_portal,1,0,0,0
access_account_fp,access_account_fp,account.model_account_fiscal_position,portal.group_portal,1,0,0,0
access_product_uom_fp,access_product_uom_fp,product.model_product_uom,portal.group_portal,1,0,0,0
access_product_p,access_product_p,product.model_product_product,portal.group_portal,1,0,0,0
access_product_pc,access_product_pc,product.model_product_category,portal.group_portal,1,0,0,0
access_product_ppt,access_product_ppt,product.model_product_price_type,portal.group_portal,1,0,0,0
access_product_pack,access_product_pack,product.model_product_packaging,portal.group_portal,1,0,0,0
access_product_pv,access_product_pv,product.model_product_pricelist_version,portal.group_portal,1,0,0,0
access_account_fpt,access_account_fpt,account.model_account_fiscal_position_tax,portal.group_portal,1,0,0,0
access_product_template_fp,access_product_template_fp,product.model_product_template,portal.group_portal,1,0,0,0
access_product_supplierinfo,access_product_supplierinfo,product.model_product_supplierinfo,portal.group_portal,1,0,0,0
access_stock_warehouse,access_stock_warehouse,stock.model_stock_warehouse,portal.group_portal,1,0,0,0
access_stock_location,access_stock_location,stock.model_stock_location,portal.group_portal,1,0,0,0
access_account_fiscalyear_sequence,account.sequence.fiscalyear,account.model_account_sequence_fiscalyear,portal.group_portal,1,0,0,0
